BSSID,Epoch,Temperature
EC:DA:3B:0F:5C:AC,1681683724,20.3202
master,1681683724,20.3323
48:27:E2:AD:85:D0,1681683725,20.1421
48:27:E2:AD:91:38,1681683725,17.6278
EC:DA:3B:0F:5C:AC,1681683725,20.3903
master,1681683725,20.1969
48:27:E2:AD:85:D0,1681683726,20.1421
48:27:E2:AD:91:38,1681683726,17.0476
EC:DA:3B:0F:5C:AC,1681683726,20.3903
master,1681683726,20.4000
48:27:E2:AD:85:D0,1681683727,20.1421
48:27:E2:AD:91:38,1681683727,17.6923
EC:DA:3B:0F:5C:AC,1681683727,20.4604
master,1681683727,20.1969
48:27:E2:AD:85:D0,1681683728,20.1421
48:27:E2:AD:91:38,1681683728,17.6278
EC:DA:3B:0F:5C:AC,1681683728,20.2501
master,1681683728,20.0615
48:27:E2:AD:85:D0,1681683729,20.1421
48:27:E2:AD:91:38,1681683729,17.6278
EC:DA:3B:0F:5C:AC,1681683729,20.4604
master,1681683729,19.9938
48:27:E2:AD:85:D0,1681683730,20.1421
48:27:E2:AD:91:38,1681683730,17.0476
EC:DA:3B:0F:5C:AC,1681683730,20.5306
master,1681683730,20.1969
48:27:E2:AD:85:D0,1681683731,20.0051
48:27:E2:AD:91:38,1681683731,17.6278
EC:DA:3B:0F:5C:AC,1681683731,20.3903
master,1681683731,20.1292
48:27:E2:AD:85:D0,1681683732,20.0736
48:27:E2:AD:91:38,1681683732,17.0476
EC:DA:3B:0F:5C:AC,1681683732,20.3202
master,1681683732,20.2646
48:27:E2:AD:85:D0,1681683733,20.0051
48:27:E2:AD:91:38,1681683733,17.8857
EC:DA:3B:0F:5C:AC,1681683733,20.3903
master,1681683733,20.1969
48:27:E2:AD:85:D0,1681683734,19.9366
48:27:E2:AD:91:38,1681683734,17.5634
EC:DA:3B:0F:5C:AC,1681683734,20.4604
master,1681683734,20.0615
48:27:E2:AD:85:D0,1681683735,20.0736
48:27:E2:AD:91:38,1681683735,17.0476
EC:DA:3B:0F:5C:AC,1681683735,21.1615
master,1681683735,20.4000
48:27:E2:AD:85:D0,1681683736,20.0051
48:27:E2:AD:91:38,1681683736,17.8212
EC:DA:3B:0F:5C:AC,1681683736,20.5306
master,1681683736,20.0615
48:27:E2:AD:85:D0,1681683737,20.0051
48:27:E2:AD:91:38,1681683737,17.6923
EC:DA:3B:0F:5C:AC,1681683737,20.4604
master,1681683737,20.0615
48:27:E2:AD:85:D0,1681683738,20.0736
